web-scraper-order,web-scraper-start-url,articles,articles-href,title,subtitle,author,content,date
"1570864721-4512","https://www.foxnews.com/politics","Trump belittles Bidens with graphic language at Minneapolis rally, as chaos unfolds outside arena","https://www.foxnews.com/politics/trump-minneapolis-minnesota-rally-impeachment-push-security-costs-ilhan-omar","Trump belittles Bidens with graphic language at Minneapolis rally, as chaos unfolds outside arena","Trump belittles Bidens with graphic language at Minneapolis rally, as chaos unfolds outside arena","","Trump attacked Frey Tuesday on Twitter, writing: ""Someone please tell the Radical Left Mayor of Minneapolis that he can't price out Free Speech. Probably illegal!""","1 day ago"
"1570864977-4919","https://www.foxnews.com/politics","Notre Dame, University of Michigan, Belmont University to host 2020 presidential debates","https://www.foxnews.com/politics/2020-presidential-debate-schedule-vice-presidential-debate-schedule","Notre Dame, University of Michigan, Belmont University to host 2020 presidential debates","Notre Dame, University of Michigan, Belmont University to host 2020 presidential debates","","CLICK HERE FOR THE FOX NEWS APP","11 hours ago"
"1570864587-4372","https://www.foxnews.com/politics","Fox News Poll: Biden and Warren gain ground in Democratic race","https://www.foxnews.com/politics/fox-news-poll-biden-and-warren-gain-ground-in-democratic-race","Fox News Poll: Biden and Warren gain ground in Democratic race","Fox News Poll: Biden and Warren gain ground in Democratic race","","Currently, 51 percent of voters have a favorable opinion of Sanders, while 43 percent view him negatively.  That puts him in positive territory by 8 points.  More view Warren positively by 7 points (46 favorable vs. 39 unfavorable) and Biden by 6 (50 favorable vs. 44 unfavorable).","1 day ago"
"1570864576-4344","https://www.foxnews.com/politics","Ted Cruz commends Taiwan's stand against 'communist oppression' as China censorship controversies rage","https://www.foxnews.com/politics/ted-cruz-taiwan-china-communist-oppression-censorship","Ted Cruz commends Taiwan's stand against 'communist oppression' as China censorship controversies rage","Ted Cruz commends Taiwan's stand against 'communist oppression' as China censorship controversies rage","","""The NBA's initial statement, and pressure placed on Mr. Morey to back away from his statement, has not only sold out an American citizen,"" the letter said. ""It reinforces the Chinese Communist Party view that those who point to Chinese repression in Hong Kong are at best stating opinions, not facts, and that the official Chinese government view deserves equal respect.""","1 day ago"
"1570864843-4731","https://www.foxnews.com/politics","Top diplomats to testify before Congress despite opposition from State Dept., White House","https://www.foxnews.com/politics/top-diplomats-to-testify-to-congress-despite-opposition-from-state-dept-white-house","Top diplomats to testify before Congress despite opposition from State Dept., White House","Top diplomats to testify before Congress despite opposition from State Dept., White House","","But the White House has been aggressive in its pushback against the impeachment inquiry, which it sees as illegitimate and politically motivated. On Wednesday the White House issued a defiant letter saying it would not cooperate with the inquiry.","17 hours ago"
"1570864763-4600","https://www.foxnews.com/politics","Networks refuse to air Trump ads aimed at Biden's ties to Ukraine","https://video.foxnews.com/v/6094008552001/","Networks refuse to air Trump ads aimed at Biden's ties to Ukraine","Networks refuse to air Trump ads aimed at Biden's ties to Ukraine","","","null"
"1570864547-4303","https://www.foxnews.com/politics","Giuliani associates arrested while trying to board international flight with one-way tickets, prosecutors say","https://www.foxnews.com/politics/prosecutors-giuliani-associates-arrested-while-trying-to-board-international-flight-with-one-way-tickets","Giuliani associates arrested while trying to board international flight with one-way tickets, prosecutors say","Giuliani associates arrested while trying to board international flight with one-way tickets, prosecutors say","","The indictment also claims that Parnas and Fruman “committed to raise $20,000 or more for a then-sitting U.S. Congressman” whom they had met at a political event. The congressman wasn't identified by name in court papers, but the donations to ""Congressman 1"" in the indictment match campaign finance reports for former Rep. Pete Sessions, a Texas Republican who lost his re-election bid in November 2018.","1 day ago"
"1570864727-4538","https://www.foxnews.com/politics","Trump protest in Minneapolis erupts in pepper spray, MAGA hat fires","https://www.foxnews.com/politics/trump-minneapolis-protest-impeachment-maga-hats-fire","Trump protest in Minneapolis erupts in pepper spray, MAGA hat fires","Trump protest in Minneapolis erupts in pepper spray, MAGA hat fires","","The Associated Press contributed to this report.","1 day ago"
"1570864843-4725","https://www.foxnews.com/politics","Top diplomats to testify before Congress despite opposition from State Dept., White House","https://www.foxnews.com/politics/top-diplomats-to-testify-to-congress-despite-opposition-from-state-dept-white-house","Top diplomats to testify before Congress despite opposition from State Dept., White House","Top diplomats to testify before Congress despite opposition from State Dept., White House","","Sondland is a wealthy hotelier, philanthropist and contributor to political campaigns. He is a key figure as he had texted with Bill Taylor, a top U.S. diplomat in Ukraine, arguing over allegations of a quid pro quo.","17 hours ago"
"1570865108-5090","https://www.foxnews.com/politics","Giuliani reportedly being investigated for work in Ukraine; McAleenan resigns as acting homeland security secretary","https://video.foxnews.com/v/6094279557001/","Giuliani reportedly being investigated for work in Ukraine; McAleenan resigns as acting homeland security secretary","Giuliani reportedly being investigated for work in Ukraine; McAleenan resigns as acting homeland security secretary","","","null"
"1570864959-4868","https://www.foxnews.com/politics","2020 Dems aren’t going far enough to address California homeless crisis, advocates claim","https://www.foxnews.com/politics/democracy-2020-dems-debate-ca-homelessness-crisis","2020 Dems aren’t going far enough to address California homeless crisis, advocates claim","2020 Dems aren’t going far enough to address California homeless crisis, advocates claim","","LOS ANGELES -- Many of the 2020 Democratic presidential candidates are calling for sweeping affordable housing plans to address the chronic issue of homelessness, but advocates on the ground who see the issue up close say it doesn’t go far enough and they wish candidates would assign it more urgency.","11 hours ago"
"1570864721-4498","https://www.foxnews.com/politics","Trump belittles Bidens with graphic language at Minneapolis rally, as chaos unfolds outside arena","https://www.foxnews.com/politics/trump-minneapolis-minnesota-rally-impeachment-push-security-costs-ilhan-omar","Trump belittles Bidens with graphic language at Minneapolis rally, as chaos unfolds outside arena","Trump belittles Bidens with graphic language at Minneapolis rally, as chaos unfolds outside arena","","Before the president took the stage, his son Eric Trump briefly encouraged a ""lock him up"" chant directed at Joe and Hunter Biden, before telling the crowd it wouldn't be necessary because Biden will lose his bid for the White House.","1 day ago"
"1570864900-4789","https://www.foxnews.com/politics","Pompeo calls foul on NBA's China treatment","https://www.foxnews.com/politics/pompeo-nba-china-usa-uighur-muslims","Pompeo calls foul on NBA's China treatment","Pompeo calls foul on NBA's China treatment","","MAN WHO HAD PRO-HONG KONG SIGN CONFISCATED AT NBA GAME IN WASHINGTON SAYS LEAGUE IS 'AFRAID' OF CHINA","13 hours ago"
"1570864496-4213","https://www.foxnews.com/politics","Newly declassified court documents reveal FBI FISA violations in targeting Americans","https://www.foxnews.com/politics/newly-declassified-court-documents-reveal-fbi-fisa-violations-in-targeting-americans","Newly declassified court documents reveal FBI FISA violations in targeting Americans","Newly declassified court documents reveal FBI FISA violations in targeting Americans","Ronn Blitzer","","1 day ago"
"1570865088-5072","https://www.foxnews.com/politics","Federal judge pauses opioid lawsuits against Purdue Pharma, Sackler family","https://www.foxnews.com/politics/federal-judge-pauses-opioid-lawsuits-against-purdue-pharma-sacker-family","Federal judge pauses opioid lawsuits against Purdue Pharma, Sackler family","Federal judge pauses opioid lawsuits against Purdue Pharma, Sackler family","","“We are disappointed by the court’s ruling, but pleased that it is limited in time to less than 30 days,” said William Tong, the attorney general of Connecticut. “We will use this time to ensure that we get access to the Sacklers’ financial information and will be ready on Nov. 6 to make our case to hold Purdue and the Sacklers accountable.”","5 hours ago"
"1570864630-4401","https://www.foxnews.com/politics","Liz Cheney, others in GOP spearhead bid to sanction Turkey for Syria invasion","https://www.foxnews.com/politics/liz-cheney-others-in-gop-spearhead-bid-to-sanction-turkey-for-syria-invasion","Liz Cheney, others in GOP spearhead bid to sanction Turkey for Syria invasion","Liz Cheney, others in GOP spearhead bid to sanction Turkey for Syria invasion","","CLICK HERE TO GET THE FOX NEWS APP","1 day ago"
"1570864869-4755","https://www.foxnews.com/politics","Former DIA employee accused of leaking top secret information to reporters released on bond","https://www.foxnews.com/politics/former-dia-employee-accused-of-leaking-top-secret-information-to-reporters-released-on-bond","Former DIA employee accused of leaking top secret information to reporters released on bond","Former DIA employee accused of leaking top secret information to reporters released on bond","","""We will continue in our efforts to punish and deter this behavior,"" Demers said.","14 hours ago"
"1570865004-4946","https://www.foxnews.com/politics","California governor signs measure requiring universities to provide abortion meds","https://www.foxnews.com/politics/california-governor-signs-measure-requiring-universities-to-provide-abortion-meds","California governor signs measure requiring universities to provide abortion meds","California governor signs measure requiring universities to provide abortion meds","Morgan Phillips","","9 hours ago"
"1570865121-5094","https://www.foxnews.com/politics","Trump blasts 'bulls--- impeachment' at Louisiana rally, says Nancy Pelosi 'hates the United States'","https://www.foxnews.com/politics/trump-rally-lake-charles-louisiana-nancy-pelosi-eddie-rispone-ralph-abraham-john-bel-edwards","Trump blasts 'bulls--- impeachment' at Louisiana rally, says Nancy Pelosi 'hates the United States'","Trump blasts 'bulls--- impeachment' at Louisiana rally, says Nancy Pelosi 'hates the United States'","","In his second rally in as many nights -- following Thursday's rally in Minneapolis -- Trump also ridiculed the ongoing impeachment inquiry spearheaded by House Democrats, whom he called ""scammers and con artists,""","6 hours ago"
"1570864752-4573","https://www.foxnews.com/politics","Biden's full-throated attack on Trump seen as double-edged sword","https://www.foxnews.com/politics/biden-trump-impeachment-attack-double-edged-sword","Biden's full-throated attack on Trump seen as double-edged sword","Biden's full-throated attack on Trump seen as double-edged sword","","The president and allies instead have tried to put the spotlight on Biden and his son.","20 hours ago"
"1570864950-4852","https://www.foxnews.com/politics","Judge blocks ‘public charge’ rule that would restrict green cards for immigrants on welfare","https://www.foxnews.com/politics/federal-judge-blocks-public-charge-rule-limiting-green-cards-to-immigrants-on-welfare","Judge blocks ‘public charge’ rule that would restrict green cards for immigrants on welfare","Judge blocks ‘public charge’ rule that would restrict green cards for immigrants on welfare","","“Once again, the courts have thwarted the Trump administration’s attempts to enact rules that violate both our laws and our values, sending a loud and clear message that they cannot rewrite our story to meet their agenda,” James said in a statement. ""This rule would have had devastating impacts on all New Yorkers – citizens and noncitizens alike – and today’s decision is a critical step in our efforts to uphold the rule of law.”","11 hours ago"
"1570864496-4215","https://www.foxnews.com/politics","Newly declassified court documents reveal FBI FISA violations in targeting Americans","https://www.foxnews.com/politics/newly-declassified-court-documents-reveal-fbi-fisa-violations-in-targeting-americans","Newly declassified court documents reveal FBI FISA violations in targeting Americans","Newly declassified court documents reveal FBI FISA violations in targeting Americans","","An October 2018 ruling from the Foreign Intelligence Surveillance Court (FISC) found that the FBI violated Section 702 by not keeping track of searches that pertained to ""United States persons,"" and that proposed changes were still not enough to comply with the law. That ruling was later affirmed on appeal in July 2019. The documents were declassified and released Tuesday.","1 day ago"
"1570864721-4493","https://www.foxnews.com/politics","Trump belittles Bidens with graphic language at Minneapolis rally, as chaos unfolds outside arena","https://www.foxnews.com/politics/trump-minneapolis-minnesota-rally-impeachment-push-security-costs-ilhan-omar","Trump belittles Bidens with graphic language at Minneapolis rally, as chaos unfolds outside arena","Trump belittles Bidens with graphic language at Minneapolis rally, as chaos unfolds outside arena","","Later in the rally, Trump explained his decision to expose U.S.-allied Kurds to Turkish invasion by telling the crowd how difficult it was to inform the families of fallen U.S. servicemembers how ""their child has died."" Keeping troops on guard to prevent Turkish incursion, Trump said, was an unnecessary risk of U.S. personnel.","1 day ago"
"1570864768-4617","https://www.foxnews.com/politics","Adam Schiff's 2020 Republican challenger vows to propel 'the viper into retirement'","https://www.foxnews.com/politics/eric-early-adam-schiffs-2020-republican-challenger","Adam Schiff's 2020 Republican challenger vows to propel 'the viper into retirement'","Adam Schiff's 2020 Republican challenger vows to propel 'the viper into retirement'","","“Reagan was strong, believed in a strong America, had firm convictions and beliefs, was willing to suffer the slings and arrows of maintaining his convictions,” Early noted. “Like President Trump, he knew and well understood the evils of communism and socialism and how they could destroy what makes America great.”","18 hours ago"
"1570864759-4589","https://www.foxnews.com/politics","Ukraine whistleblower wants to testify in writing instead of appearing in person","https://www.foxnews.com/politics/ukraine-whistleblower-wants-to-testify-in-writing-instead-of-appearing-in-person-report-says","Ukraine whistleblower wants to testify in writing instead of appearing in person","Ukraine whistleblower wants to testify in writing instead of appearing in person","","WHISTLEBLOWER LAWYER ACKNOWLEDGES CLIENT HAD 'CONTACT' WITH PRESIDENTIAL CANDIDATES","19 hours ago"
"1570864966-4893","https://www.foxnews.com/politics","Appeals court blocks Ohio ban on Down syndrome abortions","https://www.foxnews.com/politics/ohio-down-syndrome-abortion-ban-federal-appeals-court","Appeals court blocks Ohio ban on Down syndrome abortions","Appeals court blocks Ohio ban on Down syndrome abortions","","Signed into law by then-Gov. John Kasich in 2017, the measure imposed criminal penalties on doctors who perform abortions after learning of a fetal diagnosis of Down syndrome.","11 hours ago"
"1570864704-4477","https://www.foxnews.com/politics","Trump rally protests take a violent turn in Minneapolis, Minnesota","https://video.foxnews.com/v/6093897135001/","Trump rally protests take a violent turn in Minneapolis, Minnesota","Trump rally protests take a violent turn in Minneapolis, Minnesota","","","null"
"1570864739-4551","https://www.foxnews.com/politics","Trump heads to Louisiana today to rally support for both Republican governor candidates","https://video.foxnews.com/v/6093967386001/","Trump heads to Louisiana today to rally support for both Republican governor candidates","Trump heads to Louisiana today to rally support for both Republican governor candidates","","","null"
"1570865029-4969","https://www.foxnews.com/politics","Nancy Pelosi says Trump's rally comments about Biden 'beyond the pale,' rips Senate Republicans' 'cowardice' on impeachment inquiry","https://www.foxnews.com/politics/nancy-pelosi-says-trump-rally-comments-about-biden-beyond-the-pale-rips-senate-republicans-cowardice-on-impeachment-inquiry","Nancy Pelosi says Trump's rally comments about Biden 'beyond the pale,' rips Senate Republicans' 'cowardice' on impeachment inquiry","Nancy Pelosi says Trump's rally comments about Biden 'beyond the pale,' rips Senate Republicans' 'cowardice' on impeachment inquiry","Liam Quinn","","8 hours ago"
