web-scraper-order,web-scraper-start-url,article,article-href,title,subtitle,author,content,date
"1570838868-2533","https://www.nytimes.com/section/politics","ImageBotched Medical Procedures May Have Led to Death of U.S. SoldierStaff Sgt. Alex Conrad, 26, died from wounds he received during a militant attack on a small outpost in Somalia.By Thomas Gibbons-Neff","https://www.nytimes.com/2019/10/11/world/africa/soldier-death-somalia.html","Botched Medical Procedures May Have Led to Death of U.S. Soldier","Staff Sgt. Alex Conrad, 26, died from wounds he received during a militant attack on a small outpost in Somalia.","Thomas Gibbons-Neff","The medic, whose name was redacted in the report, noted the spot with a marker before making a vertical, then horizontal, incision. Sergeant Conrad twice dislodged the tube, labeled in the report as a Shiley tube. The team’s medic tried at least once to make his initial incision longer in an effort to open the newly made airway.","Oct. 11, 2019, 2:26 p.m. ET"
"1570838848-2377","https://www.nytimes.com/section/politics","ImageThe Democrats Worth Staying Up Past Bedtime ForFor the way-too-young-to-vote crowd, 2020 events are still a draw.By Reid J. Epstein","https://www.nytimes.com/2019/10/11/us/politics/2020-candidates-children.html","The Democrats Worth Staying Up Past Bedtime For","For the way-too-young-to-vote crowd, 2020 events are still a draw.","Reid J. Epstein","Samara and Isa Murillo, sisters who are 10 and 8 years old, each had Ms. Warren autograph a white campaign placard. Ms. Warren got down on one knee and signed them on the floor of the stage.","Oct. 11, 2019"
"1570838868-2541","https://www.nytimes.com/section/politics","ImageBotched Medical Procedures May Have Led to Death of U.S. SoldierStaff Sgt. Alex Conrad, 26, died from wounds he received during a militant attack on a small outpost in Somalia.By Thomas Gibbons-Neff","https://www.nytimes.com/2019/10/11/world/africa/soldier-death-somalia.html","Botched Medical Procedures May Have Led to Death of U.S. Soldier","Staff Sgt. Alex Conrad, 26, died from wounds he received during a militant attack on a small outpost in Somalia.","Thomas Gibbons-Neff","The American military’s Africa Command had no immediate comment on the investigation.","Oct. 11, 2019, 2:26 p.m. ET"
"1570838872-2581","https://www.nytimes.com/section/politics","ImageTrump and China Have a ‘Phase One Deal.’ The World Economy Is Still at Risk.A perpetual state of aggression on trade has been a drag on business decision-making, especially in manufacturing.By Neil Irwin","https://www.nytimes.com/2019/10/11/upshot/trade-deal-trump-china.html","Trump and China Have a ‘Phase One Deal.’ The World Economy Is Still at Risk.","A perpetual state of aggression on trade has been a drag on business decision-making, especially in manufacturing.","Neil Irwin","Even though those particular Mexican tariffs never went into effect, the message to businesses was that trade tension is a new normal — not a limited, tactical war with achievable goals, but a perpetual state of aggression that can become more or less intense at any particular time.","Oct. 11, 2019"
"1570838848-2380","https://www.nytimes.com/section/politics","ImageThe Democrats Worth Staying Up Past Bedtime ForFor the way-too-young-to-vote crowd, 2020 events are still a draw.By Reid J. Epstein","https://www.nytimes.com/2019/10/11/us/politics/2020-candidates-children.html","The Democrats Worth Staying Up Past Bedtime For","For the way-too-young-to-vote crowd, 2020 events are still a draw.","Reid J. Epstein","And, because it is Iowa, there are parents who spend caucus season vying to get their children photographed with all of the candidates they can — just in case one of them makes it to the White House.","Oct. 11, 2019"
"1570838858-2461","https://www.nytimes.com/section/politics","ImagePoll watchDemocrats Will Hope for a ‘Bump’ at Next Week’s Debate. What’s It Worth?In a crowded field, experts agree, debates can result in a momentary spike in support for second-tier candidates — but it rarely lasts.By Giovanni Russonello","https://www.nytimes.com/2019/10/11/us/politics/latest-democratic-polls.html","Democrats Will Hope for a ‘Bump’ at Next Week’s Debate. What’s It Worth?","In a crowded field, experts agree, debates can result in a momentary spike in support for second-tier candidates — but it rarely lasts.","Giovanni Russonello","After next week’s Democratic debate, pundits will inevitably argue over who won and who lost, and they’ll scour the polls to see if any presidential candidate has gotten a “bump” in support.","Oct. 11, 2019, 11:46 a.m. ET"
"1570838880-2652","https://www.nytimes.com/section/politics","ImageThose Foreign Business Ties? The Trump Sons Have Plenty TooThe Trumps have criticized Hunter Biden for doing business overseas while his father was vice president. Last month, the Trumps won approval in Scotland to build 500 homes.By Eric Lipton, Steve Eder and Ben Protess","https://www.nytimes.com/2019/10/11/us/politics/donald-trump-jr-eric-trump-business.html","Those Foreign Business Ties? The Trump Sons Have Plenty Too","null","Eric Lipton","Mr. Trump’s daughter Ivanka has also retained a stake in the family business even as she serves as a White House adviser, and last year she received trademarks in China related to her separate fashion ventures. Her husband, Jared Kushner, a senior adviser to the president, maintains a stake in his own family’s real estate business, which has received and sought funding from international sources as well.","Oct. 11, 2019, 7:33 p.m. ET"
"1570838880-2638","https://www.nytimes.com/section/politics","ImageThose Foreign Business Ties? The Trump Sons Have Plenty TooThe Trumps have criticized Hunter Biden for doing business overseas while his father was vice president. Last month, the Trumps won approval in Scotland to build 500 homes.By Eric Lipton, Steve Eder and Ben Protess","https://www.nytimes.com/2019/10/11/us/politics/donald-trump-jr-eric-trump-business.html","Those Foreign Business Ties? The Trump Sons Have Plenty Too","null","Eric Lipton","“When my father became president, our family stopped doing international business deals,” he said, a reference to a pledge by the Trump Organization not to begin new overseas projects during the Trump presidency. Hunter Biden, he said, did the opposite when his father became vice president.","Oct. 11, 2019, 7:33 p.m. ET"
"1570838870-2563","https://www.nytimes.com/section/politics","ImageDemocrats’ Bolder Stand on Labor Reflects Nation’s Ideological ShiftAmbitious moves to shift power to workers are being embraced by several presidential candidates.By Noam Scheiber","https://www.nytimes.com/2019/10/11/business/economy/democratic-candidates-labor-unions.html","Democrats’ Bolder Stand on Labor Reflects Nation’s Ideological Shift","null","Noam Scheiber","And partly this reflects a proliferation of research, which some of the campaigns have specifically cited, showing that employers have considerable power to hold down wages below the level the market would set.","Oct. 11, 2019, 3:43 p.m. ET"
"1570838877-2625","https://www.nytimes.com/section/politics","ImageTrump Orders Troops and Weapons to Saudi Arabia in Message of Deterrence to IranThe announcement came five days after Mr. Trump said his desire to end America’s “endless wars” led him to pull back troops from the Syria-Turkey border.By Eric Schmitt and David E. Sanger","https://www.nytimes.com/2019/10/11/world/middleeast/trump-saudi-arabia-iran-troops.html","Trump Orders Troops and Weapons to Saudi Arabia in Message of Deterrence to Iran","null","Eric Schmitt","Mr. Hook avoided saying much about the Turkey decision, which many of his colleagues in the State Department — and many Republican lawmakers — regarded as a major error. But he said that it was Mr. Trump himself who sent Mr. Pompeo to Saudi Arabia after the mid-September attack on its oil facilities “so that we could have this discussion about their defensive needs.”","Oct. 11, 2019"
"1570838872-2582","https://www.nytimes.com/section/politics","ImageTrump and China Have a ‘Phase One Deal.’ The World Economy Is Still at Risk.A perpetual state of aggression on trade has been a drag on business decision-making, especially in manufacturing.By Neil Irwin","https://www.nytimes.com/2019/10/11/upshot/trade-deal-trump-china.html","Trump and China Have a ‘Phase One Deal.’ The World Economy Is Still at Risk.","A perpetual state of aggression on trade has been a drag on business decision-making, especially in manufacturing.","Neil Irwin","You can see that recognition in how businesses are behaving. The scale of the tariffs actually being collected thus far remains moderate relative to the scale of the United States economy. But there is plenty of evidence that this sense of trade chaos is hanging over business decision-making, especially in the export-focused manufacturing sector.","Oct. 11, 2019"
"1570838848-2381","https://www.nytimes.com/section/politics","ImageThe Democrats Worth Staying Up Past Bedtime ForFor the way-too-young-to-vote crowd, 2020 events are still a draw.By Reid J. Epstein","https://www.nytimes.com/2019/10/11/us/politics/2020-candidates-children.html","The Democrats Worth Staying Up Past Bedtime For","For the way-too-young-to-vote crowd, 2020 events are still a draw.","Reid J. Epstein","Eric Heininger, a fund-raiser for nonprofit organizations, and his wife, Tiffani Milless, a physician, toted their 9-month-old daughter, Charlotte, around the Polk County Steak Fry last month to get her in pictures with as many contenders as possible. Dressed in a red-white-and-blue sundress, Charlotte met Ms. Warren, Mr. Buttigieg, Mr. O’Rourke and the entrepreneur Andrew Yang. At earlier campaign events, she was photographed with Mr. Sanders, Senator Cory Booker of New Jersey and former Gov. John Hickenlooper of Colorado, who ended his campaign in August.","Oct. 11, 2019"
"1570838860-2499","https://www.nytimes.com/section/politics","ImageSupport for Impeachment Has Grown but Also SlowedMany of the voters who back an inquiry have not reached the same conclusion on removal.By Nate Cohn","https://www.nytimes.com/2019/10/11/upshot/impeachment-trump-polling.html","Support for Impeachment Has Grown but Also Slowed","Many of the voters who back an inquiry have not reached the same conclusion on removal.","Nate Cohn","It is far too soon to say whether a similar story will play out for President Trump.","Oct. 11, 2019"
"1570838848-2367","https://www.nytimes.com/section/politics","ImageThe Democrats Worth Staying Up Past Bedtime ForFor the way-too-young-to-vote crowd, 2020 events are still a draw.By Reid J. Epstein","https://www.nytimes.com/2019/10/11/us/politics/2020-candidates-children.html","The Democrats Worth Staying Up Past Bedtime For","For the way-too-young-to-vote crowd, 2020 events are still a draw.","Reid J. Epstein","“I can’t let my kids listen to the TV without being ready to hit the mute button,” said Julia Privett, a physician assistant who brought her 2-year-old daughter, Alyssa, to see Mr. Biden talk about climate change in Cedar Rapids.","Oct. 11, 2019"
"1570838858-2477","https://www.nytimes.com/section/politics","ImagePoll watchDemocrats Will Hope for a ‘Bump’ at Next Week’s Debate. What’s It Worth?In a crowded field, experts agree, debates can result in a momentary spike in support for second-tier candidates — but it rarely lasts.By Giovanni Russonello","https://www.nytimes.com/2019/10/11/us/politics/latest-democratic-polls.html","Democrats Will Hope for a ‘Bump’ at Next Week’s Debate. What’s It Worth?","In a crowded field, experts agree, debates can result in a momentary spike in support for second-tier candidates — but it rarely lasts.","Giovanni Russonello","But historically, early debates have been more likely to disqualify a candidate than to provide a lasting jolt of momentum. In 2011, Gov. Rick Perry of Texas pledged in an early debate to eliminate three agencies from the executive branch if elected president but couldn’t remember the name of one of the agencies. He never recovered from the flub. (When Mr. Trump became president, however, Mr. Perry was chosen to head the Department of Energy, the very agency he had forgotten to name.)","Oct. 11, 2019, 11:46 a.m. ET"
"1570838874-2595","https://www.nytimes.com/section/politics","ImageA Spice Company Spent $92,000 on Pro-Impeachment Facebook Ads in a WeekA Wisconsin-based purveyor of pepper, paprika and poppy seeds spent more on impeachment-related Facebook ads than any entity besides President Trump.By Jacey Fortin","https://www.nytimes.com/2019/10/11/business/penzeys-spices-impeach-ads.html","A Spice Company Spent $92,000 on Pro-Impeachment Facebook Ads in a Week","A Wisconsin-based purveyor of pepper, paprika and poppy seeds spent more on impeachment-related Facebook ads than any entity besides President Trump.","Jacey Fortin","The data on Facebook impeachment ads, which was reported by Axios on Wednesday, came from Bully Pulpit Interactive, a communications agency based in Washington whose 2020 Campaign Tracker shares information about political spending. The agency used an in-house program to identify Facebook ad copy with the words “impeach,” “impeachment” and “impeaching,” a spokeswoman said.","Oct. 11, 2019"
"1570838868-2536","https://www.nytimes.com/section/politics","ImageBotched Medical Procedures May Have Led to Death of U.S. SoldierStaff Sgt. Alex Conrad, 26, died from wounds he received during a militant attack on a small outpost in Somalia.By Thomas Gibbons-Neff","https://www.nytimes.com/2019/10/11/world/africa/soldier-death-somalia.html","Botched Medical Procedures May Have Led to Death of U.S. Soldier","Staff Sgt. Alex Conrad, 26, died from wounds he received during a militant attack on a small outpost in Somalia.","Thomas Gibbons-Neff","At around 3:15, the flight arrived back at Kismayo, where a surgical team was waiting. Sergeant Conrad was pronounced dead about 15 minutes later.","Oct. 11, 2019, 2:26 p.m. ET"
"1570838866-2524","https://www.nytimes.com/section/politics","ImageWhite House Threatens Turkey With Crippling SanctionsThe warning comes after Turkey launched military operations against the American military’s Kurdish allies in Syria.By Alan Rappeport and David E. Sanger","https://www.nytimes.com/2019/10/11/us/politics/turkey-sanctions-syria-kurds-trump.html","White House Threatens Turkey With Crippling Sanctions","null","Alan Rappeport","Mr. Mnuchin said that banks should be on notice for potential sanctions actions by the United States.","Oct. 11, 2019"
"1570838880-2631","https://www.nytimes.com/section/politics","ImageThose Foreign Business Ties? The Trump Sons Have Plenty TooThe Trumps have criticized Hunter Biden for doing business overseas while his father was vice president. Last month, the Trumps won approval in Scotland to build 500 homes.By Eric Lipton, Steve Eder and Ben Protess","https://www.nytimes.com/2019/10/11/us/politics/donald-trump-jr-eric-trump-business.html","Those Foreign Business Ties? The Trump Sons Have Plenty Too","null","Eric Lipton","In recent weeks, as the president has become embroiled in a scandal involving his interactions with Ukraine, Donald Trump Jr. and his brother Eric have taken to attacking Hunter Biden, the son of former Vice President Joseph R. Biden Jr., for his business dealings in Ukraine and China.","Oct. 11, 2019, 7:33 p.m. ET"
"1570838870-2562","https://www.nytimes.com/section/politics","ImageDemocrats’ Bolder Stand on Labor Reflects Nation’s Ideological ShiftAmbitious moves to shift power to workers are being embraced by several presidential candidates.By Noam Scheiber","https://www.nytimes.com/2019/10/11/business/economy/democratic-candidates-labor-unions.html","Democrats’ Bolder Stand on Labor Reflects Nation’s Ideological Shift","null","Noam Scheiber","But in recent years, many economists have begun to reconsider those views. Partly this reflects a broader ideological shift in the country away from the market-friendly policy approach of the 1980s and ’90s, which has lost credibility as inequality has widened. “We as social scientists live in a society where clearly the general social and political environment affects the questions we ask,” said Arindrajit Dube, a labor economist at the University of Massachusetts Amherst.","Oct. 11, 2019, 3:43 p.m. ET"
"1570838846-2333","https://www.nytimes.com/section/politics","ImageAlexandria Ocasio-Cortez and the Political Cost of HairWhy are we so obsessed?By Vanessa Friedman","https://www.nytimes.com/2019/10/11/style/alexandria-ocasio-cortez-hair-cost.html","Alexandria Ocasio-Cortez and the Political Cost of Hair","Why are we so obsessed?","Vanessa Friedman","Hillary Clinton acknowledged it in 2014, when she joked that the subtitle of her memoir, “Hard Choices,” should be “The Scrunchie Chronicles: 112 Countries and It’s Still All About My Hair.”","Oct. 11, 2019"
"1570838874-2590","https://www.nytimes.com/section/politics","ImageA Spice Company Spent $92,000 on Pro-Impeachment Facebook Ads in a WeekA Wisconsin-based purveyor of pepper, paprika and poppy seeds spent more on impeachment-related Facebook ads than any entity besides President Trump.By Jacey Fortin","https://www.nytimes.com/2019/10/11/business/penzeys-spices-impeach-ads.html","A Spice Company Spent $92,000 on Pro-Impeachment Facebook Ads in a Week","A Wisconsin-based purveyor of pepper, paprika and poppy seeds spent more on impeachment-related Facebook ads than any entity besides President Trump.","Jacey Fortin","Penzeys Spices, a family-owned company in Wauwatosa, spent nearly $92,000 on Facebook advertisements related to impeachment from Sept. 29 to Oct. 5, according to data from a communications agency that tracks political spending.","Oct. 11, 2019"
"1570838872-2587","https://www.nytimes.com/section/politics","ImageTrump and China Have a ‘Phase One Deal.’ The World Economy Is Still at Risk.A perpetual state of aggression on trade has been a drag on business decision-making, especially in manufacturing.By Neil Irwin","https://www.nytimes.com/2019/10/11/upshot/trade-deal-trump-china.html","Trump and China Have a ‘Phase One Deal.’ The World Economy Is Still at Risk.","A perpetual state of aggression on trade has been a drag on business decision-making, especially in manufacturing.","Neil Irwin","As that shows, in Trump-era trade policy, the risk of a major disruption to world commerce never really goes away. It just arrives in unpredictable waves — and Friday’s deal represents a low ebb.","Oct. 11, 2019"
"1570838868-2547","https://www.nytimes.com/section/politics","ImageBotched Medical Procedures May Have Led to Death of U.S. SoldierStaff Sgt. Alex Conrad, 26, died from wounds he received during a militant attack on a small outpost in Somalia.By Thomas Gibbons-Neff","https://www.nytimes.com/2019/10/11/world/africa/soldier-death-somalia.html","Botched Medical Procedures May Have Led to Death of U.S. Soldier","Staff Sgt. Alex Conrad, 26, died from wounds he received during a militant attack on a small outpost in Somalia.","Thomas Gibbons-Neff","Mr. Gates ordered more helicopters to Afghanistan to evacuate wounded troops, and directed that helicopters previously set aside for rescuing downed pilots be reassigned to medical evacuation. Mr. Gates also increased the number of field hospitals.","Oct. 11, 2019, 2:26 p.m. ET"
"1570838841-2319","https://www.nytimes.com/section/politics","ImageWhy Populist Democrats Have Gained the Upper Hand in the 2020 RaceAs next week’s debate looms, polls and donor contributions suggest a party seeking candidates who will push the boundaries, while moderates argue they can beat President Trump.By Alexander Burns","https://www.nytimes.com/2019/10/11/us/politics/2020-democrats-primary-polls.html","Why Populist Democrats Have Gained the Upper Hand in the 2020 Race","null","Alexander Burns","Mark Baldassare, president of the institute, said there was no indication in his poll that the state’s diversity would represent a stumbling block for candidates on the left, as Mr. Biden is hoping. The primary debates would be crucial to determining Ms. Warren’s continued momentum, he said, because voters seemed to be using them for insight into the general election.","null"
"1570838877-2612","https://www.nytimes.com/section/politics","ImageTrump Orders Troops and Weapons to Saudi Arabia in Message of Deterrence to IranThe announcement came five days after Mr. Trump said his desire to end America’s “endless wars” led him to pull back troops from the Syria-Turkey border.By Eric Schmitt and David E. Sanger","https://www.nytimes.com/2019/10/11/world/middleeast/trump-saudi-arabia-iran-troops.html","Trump Orders Troops and Weapons to Saudi Arabia in Message of Deterrence to Iran","null","Eric Schmitt","“The troops that we are sending into Saudi and the enhanced assets are defensive,’’ said Brian H. Hook, the State Department’s special representative for Iran. “They are there to defend our interests and to help Saudi defend itself.”","Oct. 11, 2019"
"1570838880-2646","https://www.nytimes.com/section/politics","ImageThose Foreign Business Ties? The Trump Sons Have Plenty TooThe Trumps have criticized Hunter Biden for doing business overseas while his father was vice president. Last month, the Trumps won approval in Scotland to build 500 homes.By Eric Lipton, Steve Eder and Ben Protess","https://www.nytimes.com/2019/10/11/us/politics/donald-trump-jr-eric-trump-business.html","Those Foreign Business Ties? The Trump Sons Have Plenty Too","null","Eric Lipton","In marketing materials released this summer, which featured the Trump family logo and a photograph of Donald Trump Jr., the company noted that the “Trump Residences Lido can be accessed directly through the newly opened Bocimi Toll Road.”","Oct. 11, 2019, 7:33 p.m. ET"
"1570838860-2488","https://www.nytimes.com/section/politics","ImageSupport for Impeachment Has Grown but Also SlowedMany of the voters who back an inquiry have not reached the same conclusion on removal.By Nate Cohn","https://www.nytimes.com/2019/10/11/upshot/impeachment-trump-polling.html","Support for Impeachment Has Grown but Also Slowed","Many of the voters who back an inquiry have not reached the same conclusion on removal.","Nate Cohn","Many polls showing lopsided support for impeachment focus on the impeachment inquiry itself, including one this week from the Washington Post/George Mason University that showed adults supporting the inquiry by a 20-point margin, 58 percent to 38 percent.","Oct. 11, 2019"
"1570838855-2442","https://www.nytimes.com/section/politics","ImageCongress Can Seek Trump’s Financial Records, Appeals Court RulesThe ruling, by a three-judge panel, handed a victory to House Democrats whose efforts to obtain the documents have been stonewalled by the White House.By Charlie Savage","https://www.nytimes.com/2019/10/11/us/politics/mazars-trump-tax-returns.html","Congress Can Seek Trump’s Financial Records, Appeals Court Rules","null","Charlie Savage","Lawyers for Mr. Trump were reviewing the decision, said one, Jay Sekulow. “We continue to believe that this subpoena is not a legitimate exercise of Congress’s legislative authority,” he said. Sarah E. Sutton, a spokeswoman for the Justice Department, declined to comment on the ruling.","Oct. 11, 2019"
"1570838870-2557","https://www.nytimes.com/section/politics","ImageDemocrats’ Bolder Stand on Labor Reflects Nation’s Ideological ShiftAmbitious moves to shift power to workers are being embraced by several presidential candidates.By Noam Scheiber","https://www.nytimes.com/2019/10/11/business/economy/democratic-candidates-labor-unions.html","Democrats’ Bolder Stand on Labor Reflects Nation’s Ideological Shift","null","Noam Scheiber","In the early stages of the economic recovery a decade ago, most workers were primarily concerned with avoiding unemployment, said Celinda Lake, a Democratic pollster who has conducted research on voters’ economic concerns. But as the expansion has plodded on, the focus has shifted from having any job to having a good job, which workers see as rare.","Oct. 11, 2019, 3:43 p.m. ET"
"1570838868-2537","https://www.nytimes.com/section/politics","ImageBotched Medical Procedures May Have Led to Death of U.S. SoldierStaff Sgt. Alex Conrad, 26, died from wounds he received during a militant attack on a small outpost in Somalia.By Thomas Gibbons-Neff","https://www.nytimes.com/2019/10/11/world/africa/soldier-death-somalia.html","Botched Medical Procedures May Have Led to Death of U.S. Soldier","Staff Sgt. Alex Conrad, 26, died from wounds he received during a militant attack on a small outpost in Somalia.","Thomas Gibbons-Neff","The investigation found that “although fully qualified medical personnel made multiple attempts to establish an airway via surgical cricothyrotomy” on Sergeant Conrad “after he received his injuries, no incision was made through the tissue plane into his airway. This might have contributed SSG Conrad succumbing to his injuries.”","Oct. 11, 2019, 2:26 p.m. ET"
"1570838855-2441","https://www.nytimes.com/section/politics","ImageCongress Can Seek Trump’s Financial Records, Appeals Court RulesThe ruling, by a three-judge panel, handed a victory to House Democrats whose efforts to obtain the documents have been stonewalled by the White House.By Charlie Savage","https://www.nytimes.com/2019/10/11/us/politics/mazars-trump-tax-returns.html","Congress Can Seek Trump’s Financial Records, Appeals Court Rules","null","Charlie Savage","Representative Elijah E. Cummings, the Democratic chairman of the oversight committee, hailed the appeals court’s decision. “Today’s ruling is a fundamental and resounding victory for congressional oversight, our constitutional system of checks and balances and the rule of law,” he said in a statement. “For far too long, the president has placed his personal interests over the interests of the American people.”","Oct. 11, 2019"
"1570838853-2429","https://www.nytimes.com/section/politics","ImagePrince’s Estate to Trump Campaign: Don’t Play ‘Purple Rain’The estate said that despite an agreement last year not to use Prince’s music, the song was played at the president’s rally on Thursday night in Minneapolis, the singer’s hometown.By Christine Hauser","https://www.nytimes.com/2019/10/11/us/prince-trump-rally-purple-rain.html","Prince’s Estate to Trump Campaign: Don’t Play ‘Purple Rain’","The estate said that despite an agreement last year not to use Prince’s music, the song was played at the president’s rally on Thursday night in Minneapolis, the singer’s hometown.","Christine Hauser","The estate said on Twitter that despite that understanding, “Purple Rain” had been played at the Minneapolis rally. “The Prince Estate will never give permission to President Trump to use Prince’s songs,” it said.","Oct. 11, 2019, 10:51 a.m. ET"
