BIDEN BREITBART
popular 5
many 5
good 4
last 4
federal 4
similar 4
american 4
full 3
primary 3
clear 3
persuadable 3
tough 3
african 3
high 3
religious 3
diplomatic 3
undocumented 3
open 2
happy 2
personal 2
front 2
recent 2
bold 2
moderate 2
certain 2
same 2
big 2
top 2
public 2
sure 2
racist 2
fresh 2
intra 2
party 2
anti 2
explosive 2
bad 2
nuclear 2
quiet 2
silent 2
migrant 2
black 2
evangelical 2
short 2
undetected 2
unchecked 2

SANDERS FOX
first 21
former 19
primary 16
political 13
new 11
progressive 11
good 10
federal 10
second 9
last 9
top 8
old 8
many 8
american 8
medical 8
free 8
national 8
recent 7
private 7
past 7
pro 7
different 6
high 6
wealthy 6
next 6
corporate 5
-year 5
latest 5
public 5
collective 5
senior 4
socialist 4
early 4
economic 4
rich 4
higher 4
strong 4
large 4
individual 4
better 4
third 4
fellow 4
liberal 4
front 4
independent 4
clear 4
general 4
whole 4
corrupt 4
best 3

TRUMP FOX
former 46
last 35
first 29
black 20
new 17
political 17
public 15
average 15
american 14
congressional 13
many 12
federal 12
top 12
primary 12
several 11
late 11
senior 11
social 10
aware 10
national 10
possible 10
foreign 10
second 10
key 10
much 9
financial 9
pro 9
illegal 9
false 9
past 8
personal 8
long 8
legal 8
official 8
next 8
conservative 7
bad 7
anti 6
guilty 6
high 6
recent 6
white 6
similar 6
real 6
familiar 6
chief 5
entire 5
separate 5
multiple 5
skeptical 5

MCCONNELL FOX
political 14
bipartisan 11
last 10
recent 9
clear 8
several 7
former 6
young 6
next 5
new 5
american 5
social 5
top 4
latest 4
grim 4
first 4
free 4
full 4
legitimate 4
federal 4
controversial 4
mass 4
sure 3
special 3
open 3
close 3
possible 3
liberal 3
universal 3
legislative 3
upcoming 3
multiple 3
single 3
public 3
alive 3
many 3
white 3
angry 3
important 3
violent 3
willing 3
constitutional 3
bicameral 3
conservative 2
incumbent 2
wrong 2
guperson 2
atorial 2
national 2
old 2

CLINTON FOX
former 62
third 19
first 11
last 11
political 9
latest 8
many 8
new 8
false 7
private 7
national 7
powerful 6
personal 5
potential 5
recent 5
rich 5
public 5
current 4
multiple 4
american 4
apparent 4
classified 4
top 3
groomed 3
progressive 3
big 3
foreign 3
senior 3
total 3
important 3
late 3
biggest 3
free 3
controversial 3
best 3
popular 3
unnamed 2
accountable 2
immediate 2
eventual 2
different 2
fellow 2
long 2
nuclear 2
official 2
much 2
chief 2
constitutional 2
low 2
little 2

DEVOS FOX
public 35
sexual 18
federal 17
last 14
several 10
strong 9
former 9
special 8
new 8
first 8
black 8
good 7
personal 6
liberal 6
major 6
wealthy 6
conservative 6
clear 6
high 5
fair 5
full 5
many 5
political 5
next 4
private 4
unfair 4
american 4
single 4
free 4
longtime 4
great 3
unsafe 3
important 3
safe 3
active 3
limited 3
qualified 3
controversial 3
local 3
third 3
current 3
grateful 3
religious 3
pro 3
common 3
historic 2
large 2
philanthropic 2
sure 2
-year 2

WARREN FOX
former 31
first 30
recent 22
native 20
last 20
american 19
new 19
early 18
political 17
progressive 14
many 14
top 14
national 14
big 13
primary 13
second 12
latest 10
public 9
wealthy 9
front 9
hopeful 9
federal 9
best 7
moderate 7
clear 7
black 7
likely 7
private 7
next 6
conservative 6
past 6
white 6
much 6
liberal 6
anti 6
large 6
populist 5
fellow 5
corporate 5
open 5
free 5
little 5
net 5
key 5
better 5
real 4
great 4
possible 4
several 4
long 4

CORTEZ FOX
last 15
former 14
political 14
new 11
recent 11
first 10
primary 10
congressional 9
progressive 7
moderate 7
migrant 7
american 6
socialist 6
southern 6
violent 6
long 5
fellow 5
federal 5
racist 5
anti 5
high 5
late 5
native 4
illegal 4
public 4
current 4
dangerous 4
okay 4
young 4
green 4
old 4
national 4
combative 3
democratic 3
liberal 3
busy 3
private 3
complicit 3
graphic 3
vulgar 3
latest 3
social 3
next 3
powerful 3
large 3
human 3
radical 3
early 3
happy 3
capitalist 3

PALIN FOX
former 53
political 33
conservative 29
last 22
first 15
many 15
national 12
much 8
false 8
public 8
anti 7
domestic 7
next 7
front 7
big 6
good 6
late 6
federal 6
great 6
possible 6
new 5
primary 5
regular 5
powerful 5
old 5
key 4
recent 4
sure 4
real 4
oldest 4
prominent 4
future 4
social 4
strong 4
intense 4
less 4
significant 4
current 4
influential 4
interested 4
pro 4
running 4
little 4
foreign 4
free 4
high 3
usual 3
populist 3
american 3
worst 3

BIDEN USA TODAY
former 71
foreign 33
political 25
last 22
personal 16
top 16
new 11
wrong 10
general 10
first 8
senior 8
national 8
younger 8
chinese 8
many 7
public 7
long 7
private 7
high 7
american 7
north 7
korean 7
overseas 6
several 6
natural 6
federal 6
old 6
good 6
current 6
young 6
low 6
ukrainian 5
special 5
rabid 5
official 4
improper 4
past 4
democratic 4
brief 4
best 4
prepared 4
total 4
least 4
abhorrent 4
international 4
partisan 4
ongoing 4
popular 4
urban 4
poor 3

OBAMA USA TODAY
former 42
first 12
last 9
good 7
primary 5
new 5
best 5
national 4
high 4
current 3
old 3
important 3
partisan 3
political 3
honorable 3
public 3
fair 2
american 2
highest 2
late 2
strong 2
early 2
personal 2
top 2
ridiculous 2
beloved 2
greater 2
original 2
mad 2
social 2
great 2
enough 2
unaccompanied 2
-year 2
front 1
sprawling 1
curious 1
startling 1
running 1
progressive 1
free 1
congressional 1
vital 1
constitutional 1
sided 1
final 1
tougher 1
better 1
dead 1
short 1

SANDERS USA TODAY
last 10
top 8
good 8
free 8
first 7
public 7
fellow 6
progressive 6
political 6
new 6
federal 6
social 5
primary 5
major 5
several 5
corporate 5
little 5
important 5
national 5
democratic 5
many 5
nuclear 5
hopeful 4
speedy 4
much 4
latest 4
second 4
real 4
american 4
medical 3
strong 3
former 3
significant 3
critical 3
renewable 3
executive 3
large 3
big 3
better 3
oldest 3
old 3
worth 3
next 3
comprehensive 3
sure 3
private 2
great 2
crowded 2
strategic 2
local 2

TRUMP USA TODAY
political 52
former 38
last 37
first 36
public 29
many 23
foreign 23
israeli 21
legal 17
federal 15
personal 15
american 14
new 14
deep 14
black 13
congressional 13
pro 12
top 11
conservative 11
clear 11
national 11
annual 10
anti 9
wrong 9
second 8
likely 8
young 8
special 8
best 8
possible 8
palestinian 8
additional 7
private 7
latest 7
major 7
good 7
real 7
several 7
mexican 7
big 6
long 6
chinese 6
illegal 6
next 6
executive 6
much 6
high 6
various 6
senior 6
large 6

MCCONNELL USA TODAY
great 22
former 11
next 9
national 8
last 8
mass 7
political 7
many 7
good 7
public 6
new 5
black 5
possible 5
powerful 5
first 5
racial 5
several 5
white 5
high 4
past 4
safe 4
special 4
free 4
federal 4
old 4
conservative 4
liberal 4
third 4
racist 4
least 4
american 4
responsible 4
clear 4
able 4
long 4
memorial 4
original 3
final 3
sure 3
uncomfortable 3
congressional 3
bipartisan 3
popular 3
top 3
northern 3
quick 3
ongoing 2
exploratory 2
critical 2
average 2

CLINTON USA TODAY
former 29
political 11
private 8
third 7
first 6
gutsiest 5
personal 5
clear 5
recent 5
last 5
gutsy 4
popular 4
foreign 4
real 4
american 4
second 4
classified 4
several 4
bipartisan 3
initial 3
new 3
possible 3
many 3
next 3
public 3
late 3
current 3
social 2
viral 2
certain 2
favorite 2
corrupt 2
human 2
national 2
constitutional 2
much 2
extramarital 2
important 2
ultimate 2
good 2
different 2
common 2
medical 2
best 2
hard 2
full 2
co 2
improbable 1
actionable 1
ready 1

DEVOS USA TODAY
federal 16
sexual 13
private 8
last 7
former 6
personal 6
public 6
traditional 5
high 4
first 4
wealthy 4
much 3
hard 3
better 3
next 3
many 3
able 3
additional 3
disabled 3
preliminary 3
new 2
fewer 2
national 2
controversial 2
due 2
deep 2
prepared 2
fiscal 2
difficult 2
longtime 2
fair 2
annual 2
political 2
disgusting 2
tough 2
special 2
less 1
bureaucratic 1
smarter 1
great 1
congressional 1
asleep 1
pro 1
school 1
safe 1
accountable 1
false 1
illegal 1
lenient 1
sufficient 1

WARREN USA TODAY
big 22
new 19
former 17
last 17
first 15
many 15
middle 12
corporate 10
national 9
political 8
public 7
liberal 7
large 7
american 7
early 7
recent 7
different 6
top 6
primary 6
likely 6
rich 5
anti 5
progressive 5
front 5
federal 5
wealthy 5
low 4
hopeful 4
legal 4
high 4
special 4
second 4
less 4
long 4
massive 4
direct 4
economic 4
false 4
ready 4
third 3
online 3
bad 3
own 3
highest 3
moderate 3
much 3
able 3
least 3
current 3
straightforward 3

CORTEZ USA TODAY
congressional 9
former 7
many 7
progressive 7
migrant 7
several 6
last 5
high 5
racist 5
good 5
social 5
secret 5
first 5
public 5
intra 4
party 4
vile 4
old 4
frequent 3
outspoken 3
disrespectful 3
sudden 3
youngest 3
legislative 2
capable 2
new 2
proud 2
controversial 2
critical 2
middle 2
hateful 2
moderate 2
divisive 2
founded 2
political 2
apparent 2
violent 2
socialist 2
strong 2
less 2
british 2
viral 2
dehumanizing 2
long 2
young 2
second 2
full 2
unqualified 2
fmr 1
corporate 1

PALIN USA TODAY
former 11
close 4
public 4
last 4
old 4
running 3
first 3
domestic 3
-year 3
disabled 2
fine 2
new 2
young 2
political 2
personal 2
alaskan 1
terminal 1
maverick 1
latest 1
notorious 1
legit 1
historical 1
fake 1
charitable 1
wrong 1
good 1
surprised 1
alive 1
complimentary 1
warm 1
quick 1
little 1
critical 1
foreign 1
north 1
korean 1
memorial 1
multiple 1
dear 1
independent 1
late 1
angry 1
unflattering 1
injured 1
sick 1
british 1
widespread 1
past 1
premiere 1
incorrect 1

BIDEN HUFFPOST
former 46
political 14
last 13
super 11
foreign 11
top 10
personal 9
primary 9
much 9
federal 8
national 7
public 7
chinese 7
many 6
corrupt 6
wrong 5
good 5
ongoing 5
clear 5
little 5
private 5
several 5
first 5
recent 4
progressive 4
general 4
massive 4
poor 4
false 4
front 4
single 4
major 3
different 3
ukranian 3
illegal 3
important 3
early 3
big 3
small 3
less 3
able 3
ukrainian 3
black 3
verbal 3
moderate 3
old 3
rabid 3
next 2
better 2
central 2

OBAMA HUFFPOST
former 68
first 22
criminal 13
last 11
federal 9
second 7
progressive 6
political 6
many 6
popular 5
current 5
top 5
next 5
executive 5
special 4
famous 4
conservative 4
official 4
primary 4
sure 4
high 4
clear 4
several 4
good 4
serious 4
proud 3
social 3
hopeful 3
big 3
different 3
moderate 3
third 3
recent 3
environmental 3
undocumented 3
great 3
old 3
legal 3
public 3
unconstitutional 3
bad 3
happy 3
american 3
national 2
historic 2
classified 2
motivated 2
civil 2
effective 2
exempt 2

SANDERS HUFFPOST
first 31
public 24
corporate 22
last 21
political 19
former 18
national 18
progressive 17
top 13
new 13
primary 12
economic 12
old 11
free 11
many 11
good 11
early 11
working 10
private 10
high 10
federal 10
major 9
large 9
second 9
several 9
likely 8
american 8
key 8
young 8
largest 8
social 8
jewish 8
past 7
recent 7
single 7
affordable 7
general 7
big 7
pro 7
clear 7
fellow 7
-year 6
older 6
significant 6
similar 6
non 6
prominent 6
better 6
ambitious 6
real 6

TRUMP HUFFPOST
former 50
political 30
last 17
public 13
new 13
foreign 12
personal 11
first 9
top 9
american 8
turkish 7
many 7
several 7
federal 7
clear 7
great 7
bad 6
key 6
kurdish 5
little 5
northern 5
recent 5
national 5
wrong 5
second 5
ongoing 5
crazy 5
chief 5
false 5
aware 5
closed 4
major 4
anti 4
big 4
previous 4
private 4
useful 4
friendly 4
special 4
bipartisan 4
explosive 4
senior 4
next 4
able 3
likely 3
past 3
final 3
third 3
inaugural 3
skeptical 3

MCCONNELL HUFFPOST
former 16
last 16
political 14
next 9
american 8
federal 8
anti 7
first 7
progressive 6
clear 6
popular 6
unpopular 6
rural 6
single 5
top 5
potential 5
old 5
other 5
public 5
viral 5
bipartisan 5
new 5
conservative 4
likely 4
least 4
many 4
happy 4
past 4
national 4
big 3
social 3
central 3
early 3
upper 3
nuclear 3
close 3
electoral 3
hard 3
seventh 3
congressional 3
additional 3
responsible 3
good 3
similar 3
racist 3
modern 3
recent 3
guperson 3
atorial 3
statewide 3

CLINTON HUFFPOST
former 65
private 20
political 14
last 12
special 11
many 11
first 11
new 10
personal 10
third 9
public 7
real 7
recent 7
popular 7
sure 6
long 6
major 6
current 6
free 5
federal 5
black 5
criminal 5
early 5
inexplicable 4
controversial 4
past 4
different 4
clear 4
great 4
conservative 4
potential 4
top 4
several 4
gutsy 3
previous 3
similar 3
online 3
close 3
full 3
baseless 3
dead 3
responsible 3
powerful 3
longtime 3
much 3
ongoing 3
single 3
explicit 3
classified 3
social 3

DEVOS HUFFPOST
sexual 42
federal 42
public 42
new 25
last 24
former 18
civil 16
private 15
predatory 14
many 12
first 8
clear 8
top 7
local 7
previous 7
several 7
unpopular 7
low 6
strong 6
traditional 6
bad 6
non 6
discriminatory 6
worse 6
personal 6
best 6
undocumented 6
much 5
safe 5
important 5
able 5
recent 5
similar 5
free 5
long 4
gainful 4
higher 4
chief 4
major 4
racial 4
racist 4
back 4
convincing 4
religious 4
true 4
concerned 4
worst 4
little 4
difficult 4
old 4

WARREN HUFFPOST
new 32
former 29
big 27
public 26
middle 24
political 23
first 22
high 21
progressive 20
many 20
american 18
recent 18
black 16
last 15
corporate 15
federal 14
primary 14
wealthy 14
next 14
personal 13
top 12
rich 11
national 11
single 11
private 11
third 10
clear 9
higher 9
special 9
much 9
good 8
local 8
better 8
front 8
open 7
major 7
famous 7
super 7
economic 7
important 7
small 7
several 6
online 6
additional 6
larger 6
financial 6
general 6
white 6
second 6
likely 6

CORTEZ HUFFPOST
progressive 19
white 16
political 15
last 11
congressional 11
conservative 7
public 7
racist 6
many 6
primary 6
real 6
former 6
young 5
first 5
violent 5
migrant 5
official 5
national 5
other 4
controversial 4
separate 4
secret 4
past 4
cultural 4
fellow 4
dishonest 4
personal 3
second 3
high 3
economic 3
legal 3
greatest 3
latest 3
full 3
weaker 3
wrong 3
southern 3
radical 3
entire 3
hypothetical 2
standard 2
digital 2
veteran 2
new 2
direct 2
simple 2
true 2
transformational 2
likely 2
more 2

PALIN HUFFPOST
former 51
political 18
public 10
national 7
new 7
conservative 6
last 6
first 6
recent 6
evil 6
sick 6
false 5
running 5
private 5
entire 5
literal 5
particular 4
special 4
second 4
full 4
common 4
anti 4
several 4
clear 4
old 4
many 4
exploitive 4
local 4
domestic 4
late 4
initial 3
famous 3
next 3
previous 3
less 3
fellow 3
primary 3
much 3
eldest 3
social 3
natural 3
federal 3
unsuccessful 3
popular 3
legal 3
disabled 3
fake 3
likely 3
long 3
potential 3

BIDEN NYT
former 149
last 55
political 43
many 41
foreign 37
new 36
american 36
national 35
top 35
primary 34
first 34
early 34
recent 26
black 25
personal 24
public 24
moderate 23
front 21
private 21
younger 18
clear 17
financial 17
white 16
online 16
past 16
super 16
several 15
much 15
digital 15
high 15
good 13
less 12
wrong 12
strong 12
close 12
big 12
general 12
biggest 11
older 11
chinese 11
overseas 11
next 10
young 10
little 10
congressional 10
major 10
anti 10
significant 10
particular 10
able 9

OBAMA NYT
former 46
american 41
last 40
political 36
first 34
foreign 20
new 19
many 17
young 16
public 15
national 15
black 14
different 13
personal 13
recent 11
primary 11
nuclear 11
cuban 11
strong 11
african 11
close 10
liberal 10
much 9
human 9
important 9
white 8
next 8
good 8
large 8
private 7
global 7
moderate 7
clear 7
great 7
long 7
deputy 7
international 7
several 6
hard 6
final 6
sure 6
racial 6
social 6
direct 6
syrian 6
little 6
diplomatic 6
able 6
economic 6
old 6

SANDERS NYT
last 58
former 49
first 39
political 39
top 31
progressive 30
many 29
new 29
primary 26
medical 25
national 21
recent 21
second 20
much 19
old 19
american 19
next 18
early 16
several 15
single 15
liberal 15
big 14
young 13
public 13
small 13
likely 13
good 13
corporate 13
super 12
-year 11
close 11
black 11
younger 11
current 10
private 10
third 10
latino 10
little 9
general 9
strong 9
federal 8
significant 8
large 8
clear 8
different 8
less 8
critical 8
moderate 8
biggest 8
least 8

TRUMP NYT
former 116
political 107
american 86
last 58
public 56
top 56
personal 52
new 43
first 42
national 40
foreign 32
many 32
special 29
clear 27
several 26
senior 26
key 21
turkish 21
conservative 21
recent 20
next 20
financial 19
congressional 19
legal 19
bad 18
damaging 17
official 15
aware 15
second 15
different 14
criminal 14
federal 14
potential 14
big 14
familiar 14
private 13
close 13
good 12
critical 12
late 12
direct 12
executive 12
closed 11
early 11
high 11
major 11
domestic 11
partisan 11
final 11
longtime 10

MCCONNELL NYT
political 27
new 24
former 24
conservative 23
last 22
recent 18
many 18
federal 15
legislative 14
congressional 12
first 12
little 12
major 11
next 11
bipartisan 10
big 10
young 10
difficult 9
partisan 9
primary 9
good 8
american 8
high 8
less 8
important 8
much 8
early 8
personal 7
clear 7
fellow 7
several 7
willing 7
top 7
tough 7
likely 7
unlikely 7
public 7
real 6
liberal 6
special 6
best 6
necessary 6
potential 6
long 6
hard 6
chief 6
close 6
open 5
own 5
longtime 5

CLINTON NYT
former 53
first 40
private 23
political 21
many 21
public 17
american 16
new 16
last 16
several 15
personal 15
single 13
foreign 13
recent 12
good 12
national 11
small 10
grand 10
likely 9
major 9
long 9
second 9
early 9
little 9
diplomatic 9
real 8
financial 8
sexual 8
previous 8
primary 7
independent 7
past 7
late 6
general 6
best 6
third 6
much 6
next 6
close 6
special 6
old 6
current 6
least 6
populist 6
powerful 5
free 5
legal 5
final 5
popular 5
economic 5

DEVOS NYT
public 107
federal 80
last 49
first 42
new 41
private 41
sexual 40
many 28
former 26
higher 26
civil 22
political 22
black 19
financial 18
conservative 18
religious 17
much 16
several 15
clear 14
low 13
traditional 13
best 12
little 12
chief 12
high 12
educational 11
able 11
full 11
local 10
critical 10
top 10
congressional 10
vulnerable 10
personal 10
strong 10
legal 10
free 9
recent 9
elementary 8
small 8
wealthy 8
anti 8
christian 8
contentious 8
important 8
largest 8
hard 7
tough 7
past 7
individual 7

WARREN NYT
former 75
new 61
big 57
first 51
last 48
political 46
top 41
public 34
middle 33
black 33
primary 29
progressive 28
front 27
many 26
private 25
single 23
moderate 21
much 21
early 19
recent 18
several 18
economic 18
american 17
rich 17
large 17
financial 17
major 15
federal 15
general 15
liberal 15
national 15
clear 14
personal 14
populist 13
less 13
social 13
white 13
wealthy 13
small 12
high 12
legal 12
different 12
past 12
long 11
richest 11
old 11
corporate 11
next 11
second 11
likely 10

CORTEZ NYT
political 24
progressive 18
last 14
primary 12
many 11
former 10
first 9
young 9
public 8
social 8
old 7
american 6
national 6
liberal 6
next 6
new 5
youngest 5
past 5
conservative 5
recent 5
-year 4
fellow 4
congressional 4
federal 4
clear 4
white 3
biggest 3
possible 3
outspoken 3
senior 3
several 3
popular 3
official 3
powerful 3
general 3
large 3
much 3
particular 3
upset 3
different 3
middle 3
viral 3
anti 3
blue 3
free 3
latina 3
ongoing 3
jewish 3
personal 3
second 2

PALIN NYT
political 24
conservative 17
former 15
many 14
last 14
first 9
much 8
american 7
public 6
great 6
new 6
foreign 5
national 5
federal 5
old 5
next 5
pro 5
little 4
front 4
anti 4
long 4
british 4
eager 4
intense 4
regular 4
possible 4
powerful 4
special 3
future 3
clear 3
several 3
positive 3
chief 3
running 3
successful 3
sure 3
huge 3
likely 3
different 3
difficult 3
terrible 3
plausible 3
populist 3
young 3
recent 3
like 3
lengthy 3
historical 3
prominent 3
less 3

